,date,close,day_prev_close,trend_3_day
1243,2014-05-12,84.69,83.6489,-1
1244,2014-05-13,84.8228,84.69,-1
1245,2014-05-14,84.8385,84.8228,1
1246,2014-05-15,84.1171,84.8385,1
1247,2014-05-16,85.3585,84.1171,1
1248,2014-05-19,86.37,85.3585,1
1249,2014-05-20,86.3871,86.37,1
1250,2014-05-21,86.6157,86.3871,1
1251,2014-05-22,86.7528,86.6157,1
1252,2014-05-23,87.7328,86.7528,1
1253,2014-05-27,89.3757,87.7328,1
1254,2014-05-28,89.1443,89.3757,1
1255,2014-05-29,90.7685,89.1443,1
1256,2014-05-30,90.4285,90.7685,1
1257,2014-06-02,89.8071,90.4285,-1
1258,2014-06-03,91.0771,89.8071,-1
1259,2014-06-04,92.1171,91.0771,-1
1260,2014-06-05,92.4785,92.1171,1
1261,2014-06-06,92.2243,92.4785,1
1262,2014-06-09,93.7,92.2243,1
1263,2014-06-10,94.25,93.7,1
1264,2014-06-11,93.86,94.25,1
1265,2014-06-12,92.29,93.86,1
1266,2014-06-13,91.28,92.29,-1
1267,2014-06-16,92.2,91.28,-1
1268,2014-06-17,92.08,92.2,-1
1269,2014-06-18,92.18,92.08,-1
1270,2014-06-19,91.86,92.18,1
1271,2014-06-20,90.91,91.86,-1
1272,2014-06-23,90.83,90.91,-1
1273,2014-06-24,90.28,90.83,-1
1274,2014-06-25,90.36,90.28,-1
1275,2014-06-26,90.9,90.36,-1
1276,2014-06-27,91.98,90.9,1
1277,2014-06-30,92.93,91.98,1
1278,2014-07-01,93.52,92.93,1
1279,2014-07-02,93.48,93.52,1
1280,2014-07-03,94.03,93.48,1
1281,2014-07-07,95.968,94.03,1
1282,2014-07-08,95.35,95.968,1
1283,2014-07-09,95.39,95.35,1
1284,2014-07-10,95.035,95.39,1
1285,2014-07-11,95.22,95.035,-1
1286,2014-07-14,96.45,95.22,1
1287,2014-07-15,95.32,96.45,1
1288,2014-07-16,94.78,95.32,1
1289,2014-07-17,93.0899,94.78,-1
1290,2014-07-18,94.43,93.0899,-1
1291,2014-07-21,93.939,94.43,-1
1292,2014-07-22,94.72,93.939,-1
1293,2014-07-23,97.19,94.72,1
1294,2014-07-24,97.03,97.19,1
1295,2014-07-25,97.671,97.03,1
1296,2014-07-28,99.02,97.671,1
1297,2014-07-29,98.38,99.02,1
1298,2014-07-30,98.15,98.38,1
1299,2014-07-31,95.6,98.15,-1
1300,2014-08-01,96.13,95.6,-1
1301,2014-08-04,95.59,96.13,-1
1302,2014-08-05,95.12,95.59,-1
1303,2014-08-06,94.96,95.12,-1
1304,2014-08-07,94.48,94.96,-1
1305,2014-08-08,94.74,94.48,-1
1306,2014-08-11,95.99,94.74,-1
1307,2014-08-12,95.97,95.99,1
1308,2014-08-13,97.24,95.97,1
1309,2014-08-14,97.5,97.24,1
1310,2014-08-15,97.98,97.5,1
1311,2014-08-18,99.16,97.98,1
1312,2014-08-19,100.53,99.16,1
1313,2014-08-20,100.57,100.53,1
1314,2014-08-21,100.58,100.57,1
1315,2014-08-22,101.32,100.58,1
1316,2014-08-25,101.54,101.32,1
1317,2014-08-26,100.889,101.54,1
1318,2014-08-27,102.13,100.889,1
1319,2014-08-28,102.25,102.13,1
1320,2014-08-29,102.5,102.25,1
1321,2014-09-02,103.3,102.5,1
1322,2014-09-03,98.94,103.3,1
1323,2014-09-04,98.12,98.94,1
1324,2014-09-05,98.97,98.12,-1
1325,2014-09-08,98.36,98.97,-1
1326,2014-09-09,97.99,98.36,-1
1327,2014-09-10,101.0,97.99,-1
1328,2014-09-11,101.43,101.0,-1
1329,2014-09-12,101.66,101.43,1
1330,2014-09-15,101.63,101.66,1
1331,2014-09-16,100.86,101.63,1
1332,2014-09-17,101.58,100.86,-1
1333,2014-09-18,101.79,101.58,-1
1334,2014-09-19,100.96,101.79,1
1335,2014-09-22,101.06,100.96,1
1336,2014-09-23,102.64,101.06,1
1337,2014-09-24,101.75,102.64,1
1338,2014-09-25,97.87,101.75,1
1339,2014-09-26,100.75,97.87,-1
1340,2014-09-29,100.11,100.75,-1
1341,2014-09-30,100.75,100.11,-1
1342,2014-10-01,99.18,100.75,1
1343,2014-10-02,99.9,99.18,-1
1344,2014-10-03,99.62,99.9,1
1345,2014-10-06,99.62,99.62,-1
1346,2014-10-07,98.75,99.62,-1
1347,2014-10-08,100.8,98.75,-1
1348,2014-10-09,101.02,100.8,-1
1349,2014-10-10,100.73,101.02,1
1350,2014-10-13,99.81,100.73,1
1351,2014-10-14,98.75,99.81,-1
1352,2014-10-15,97.54,98.75,-1
1353,2014-10-16,96.26,97.54,-1
1354,2014-10-17,97.67,96.26,-1
1355,2014-10-20,99.76,97.67,-1
1356,2014-10-21,102.47,99.76,1
1357,2014-10-22,102.99,102.47,1
1358,2014-10-23,104.83,102.99,1
1359,2014-10-24,105.22,104.83,1
1360,2014-10-27,105.11,105.22,1
1361,2014-10-28,106.74,105.11,1
1362,2014-10-29,107.34,106.74,1
1363,2014-10-30,106.98,107.34,1
1364,2014-10-31,108.0,106.98,1
1365,2014-11-03,109.4,108.0,1
1366,2014-11-04,108.6,109.4,1
1367,2014-11-05,108.86,108.6,1
1368,2014-11-06,108.7,108.86,1
1369,2014-11-07,109.01,108.7,-1
1370,2014-11-10,108.83,109.01,1
1371,2014-11-11,109.7,108.83,-1
1372,2014-11-12,111.25,109.7,1
1373,2014-11-13,112.82,111.25,1
1374,2014-11-14,114.18,112.82,1
1375,2014-11-17,113.99,114.18,1
1376,2014-11-18,115.47,113.99,1
1377,2014-11-19,114.67,115.47,1
1378,2014-11-20,116.31,114.67,-1
1379,2014-11-21,116.47,116.31,1
1380,2014-11-24,118.625,116.47,1
1381,2014-11-25,117.6,118.625,1
